Store,2024,Store_ID,Store_Status,Postal_Code,City,GPS_Coordinates,Poststed,Region_Code,Region_Name,Municipality_Code,Municipality_Name,PostnummerKategoriKode,PostnummerKategori,Latitude,Longitude
"bergen, vestkanten",476284.086,170,Open,5171,Loddefjord,60.363352;5.233634,LODDEFJORD,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.3632200,5.2336200
"bergen, asane",482198.723,197,Open,5116,Ulset,60.465332;5.322082,ULSET,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,60.4619000,5.3234700
"bergen, asane horisont",553066.33,434,Open,5130,Nyborg,60.470404;5.323168,NYBORG,12,HORDALAND,1201,BERGEN,G,Gateadresser og stedsadresser,(blank),(blank)
bomlo,133251.254,309,Open,5430,Bremnes,59.7933330;5.1716050,BREMNES,12,HORDALAND,1219,BØMLO,G,Gateadresser og stedsadresser,59.7925170,5.1722170
eikelandsosen,38713.797000000006,448,Open,5640,Eikelandsosen,60.2400685;5.747474,EIKELANDSOSEN,12,HORDALAND,1241,FUSA,G,Gateadresser og stedsadresser,60.2404500,5.7466200
etne,91963.43100000001,429,Open,5590,Etne,59.66439196;5.94064235,ETNE,12,HORDALAND,1211,ETNE,G,Gateadresser og stedsadresser,59.6645980,5.9338620
fitjar,35903.024,129,Open,5419,Fitjar,59.918156;5.315838,FITJAR,12,HORDALAND,1222,FITJAR,G,Gateadresser og stedsadresser,59.9177530,5.3163530
floro,186688.897,164,Open,6900,Florø,61.6007736;5.037078,FLORØ,14,SOGN OG FJORDANE,1401,FLORA,G,Gateadresser og stedsadresser,61.5999880,5.0328110
forde,367327.81799999997,251,Open,6800,Førde,61.4526;5.8506,FØRDE,14,SOGN OG FJORDANE,1432,FØRDE,G,Gateadresser og stedsadresser,61.4514900,5.8564100
husnes,146710.06399999998,179,Open,5460,Husnes,59.8623780;5.7542335,HUSNES,12,HORDALAND,1224,KVINNHERAD,G,Gateadresser og stedsadresser,59.8601600,5.7504500
hoyanger,44040.325000000004,356,Open,6993,Høyanger,61.2186;6.0727,HØYANGER,14,SOGN OG FJORDANE,1416,HØYANGER,G,Gateadresser og stedsadresser,61.2211900,6.0814900
knarvik,402490.62399999995,156,Open,5914,Isdalstø,60.546932;5.2856493,ISDALSTØ,12,HORDALAND,1263,LINDÅS,G,Gateadresser og stedsadresser,60.5470700,5.2902500
lonevag,57906.298,421,Open,5282,Lonevåg,60.52540824;5.49676895141,LONEVÅG,12,HORDALAND,1253,OSTERØY,G,Gateadresser og stedsadresser,60.5255400,5.5032800
luster,29377.4,366,Open,6868,Gaupne,61.4065;7.2883,GAUPNE,14,SOGN OG FJORDANE,1426,LUSTER,G,Gateadresser og stedsadresser,61.4026560,7.2963380
maloy,108636.299,151,Open,6700,Måløy,61.93555;5.114850,MÅLØY,14,SOGN OG FJORDANE,1439,VÅGSØY,G,Gateadresser og stedsadresser,61.9359830,5.1144360
nordfjordeid,146908.76400000002,255,Open,6770,Nordfjordeid,61.908603;5.984137,NORDFJORDEID,14,SOGN OG FJORDANE,1443,EID,G,Gateadresser og stedsadresser,61.9120890,5.9855750
norheimsund,142398.24699999997,177,Open,5600,Norheimsund,60.372338;6.146228,NORHEIMSUND,12,HORDALAND,1238,KVAM,G,Gateadresser og stedsadresser,60.3728580,6.1446730
odda,175806.464,235,Open,5750,Odda,60.0702803;6.5422019,ODDA,12,HORDALAND,1228,ODDA,G,Gateadresser og stedsadresser,60.0649600,6.5453200
os,323437.797,275,Open,5200,Os,60.1838;5.4724,OS,12,HORDALAND,1243,OS (HORDALAND),G,Gateadresser og stedsadresser,60.1867600,5.4646900
radoy,49515.131,433,Open,5936,Manger,60.64102365;5.04195213,MANGER,12,HORDALAND,1260,RADØY,G,Gateadresser og stedsadresser,60.6406400,5.0420000
rosendal,42502.599,102,Open,5470,Rosendal,59.9860712;6.0100417,ROSENDAL,12,HORDALAND,1224,KVINNHERAD,G,Gateadresser og stedsadresser,59.5909000,6.0041000
samnanger,30172.241000000005,153,Open,5652,Årland,60.401232;5.730157,ÅRLAND,12,HORDALAND,1242,SAMNANGER,G,Gateadresser og stedsadresser,60.4013400,5.7308100
sandane,87140.12,346,Open,6823,Sandane,61.7757738;6.2135982,SANDANE,14,SOGN OG FJORDANE,1445,GLOPPEN,G,Gateadresser og stedsadresser,61.7806730,6.2201930
sogndal,211607.725,261,Open,6856,Sogndal,61.2318;7.102,SOGNDAL,14,SOGN OG FJORDANE,1420,SOGNDAL,G,Gateadresser og stedsadresser,61.2316200,7.0947300
sotra,395597.647,325,Open,5353,Straume,60.358975;5.124328,STRAUME,12,HORDALAND,1246,FJELL,G,Gateadresser og stedsadresser,60.3585670,5.1255510
stord,340753.287,297,Open,5411,Stord,59.7785025;5.4993168,STORD,12,HORDALAND,1221,STORD,G,Gateadresser og stedsadresser,59.7722400,5.4967900
stryn,146500.215,310,Open,6783,Stryn,61.9033622;6.7190685,STRYN,14,SOGN OG FJORDANE,1449,STRYN,G,Gateadresser og stedsadresser,61.9046120,6.7213950
sund,70425.31,466,Open,5382,Skogsvåg,60.2700735;5.0724634,SKOGSVÅG,12,HORDALAND,1245,SUND,G,Gateadresser og stedsadresser,60.2702800,5.0726420
sveio,51519.68,476,Open,5559,Sveio,59.543472;5.354623,SVEIO,12,HORDALAND,1216,SVEIO,P,Postbokser,59.5439400,5.3585300
tysnes,49581.369,458,Open,5680,Tysnes,60.04392149;5.52213728,TYSNES,12,HORDALAND,1223,TYSNES,G,Gateadresser og stedsadresser,60.0435040,5.5226900
vik i sogn,31742.578999999998,464,Open,6893,Vik I Sogn,61.0856397;6.5815133,VIK I SOGN,14,SOGN OG FJORDANE,1417,VIK,G,Gateadresser og stedsadresser,61.0847100,6.5780900
voss,340999.178,298,Open,5700,Voss,60.629113;6.424191,VOSS,12,HORDALAND,1235,VOSS,G,Gateadresser og stedsadresser,60.6279100,6.4195700
ardal,72660.01199999999,311,Open,6884,Øvre Årdal,61.3101937; 7.8079549,ØVRE ÅRDAL,14,SOGN OG FJORDANE,1424,ÅRDAL,G,Gateadresser og stedsadresser,61.3102270,7.7992630
askim,355036.81,203,Open,1811,Askim,59.5815876;11.1688260,ASKIM,01,ØSTFOLD,0124,ASKIM,G,Gateadresser og stedsadresser,59.5794900,11.1814900
"fredrikstad, varstetorvet",471820.13000000006,219,Open,1671,Kråkerøy,59.211319;10.931489,KRÅKERØY,01,ØSTFOLD,0106,FREDRIKSTAD,G,Gateadresser og stedsadresser,59.2058330,10.9385200
"fredrikstad, ostsiden",461478.748,222,Open,1633,Gamle Fredrikstad,59.206;10.973,GAMLE FREDRIKSTAD,01,ØSTFOLD,0106,FREDRIKSTAD,G,Gateadresser og stedsadresser,59.2046800,10.9686500
halden,267221.488,229,Open,1771,Halden,59.1215016;11.3833732,HALDEN,01,ØSTFOLD,0101,HALDEN,G,Gateadresser og stedsadresser,59.1221200,11.3764900
hvaler,116998.325,321,Open,1680,Skjærhalden,59.0275057;11.0341843,SKJÆRHALDEN,01,ØSTFOLD,0111,HVALER,G,Gateadresser og stedsadresser,59.0269500,11.0343500
moss,349728.06000000006,270,Open,1530,Moss,59.4372651;10.6639834,MOSS,01,ØSTFOLD,0104,MOSS,G,Gateadresser og stedsadresser,59.4364600,10.6669800
mysen,171322.98299999998,343,Open,1850,Mysen,59.5534136;11.3327564,MYSEN,01,ØSTFOLD,0125,EIDSBERG,G,Gateadresser og stedsadresser,59.5542760,11.3239680
rakkestad,75154.383,300,Open,1890,Rakkestad,59.4276587;11.3401048,RAKKESTAD,01,ØSTFOLD,0128,RAKKESTAD,G,Gateadresser og stedsadresser,59.4283160,11.3437560
rygge,700856.571,350,Open,1526,Moss,59.4161;10.6826,MOSS,01,ØSTFOLD,0136,RYGGE,G,Gateadresser og stedsadresser,59.4131900,10.6747800
"sarpsborg, borg",399436.347,461,Open,1711,Sarpsborg,59.2741392;11.0822828,SARPSBORG,01,ØSTFOLD,0105,SARPSBORG,G,Gateadresser og stedsadresser,59.2832000,11.0874400
"sarpsborg, storbyen",216643.67200000002,285,Open,1723,Sarpsborg,59.2842033;11.1081653,SARPSBORG,01,ØSTFOLD,0105,SARPSBORG,G,Gateadresser og stedsadresser,59.2818900,11.1019300
